"time","H_sensor","I_sensor","Q_sensor","omega_sensor","slip_sensor","vib_sensor"
0,0.6248360163008504,14.784742323042517,7.191383079063045e-5,15.515374149790153,0.9204225284540524,0.011062773268154441
0.1,0.8422370158244943,14.784720278349873,7.19138307906302e-5,21.16979430194396,0.8904248978695954,0.01256261946235983
0.2,1.6869182982254514,14.784696197658828,7.191383079063071e-5,26.9109640186289,0.8599670465515987,0.014085476151135479
0.3,2.2176725030401463,14.78466985777706,7.191383079063079e-5,32.72576132077005,0.8291185887611592,0.015627862703426552
0.4,3.384202475397798,14.784640997029136,7.191383079063097e-5,38.601870914760475,0.7979448591600498,0.017186512463106873
0.5,4.243143694420519,14.784609304773655,7.191383079063029e-5,44.52819502000356,0.7665047333029134,0.018758481721792127
0.6,5.7424380831641475,14.784574406757335,7.191383079062896e-5,50.49535964902566,0.7348479417378473,0.020341284010656394
0.7,6.937543622264937,14.784535845103237,7.191383079063202e-5,56.496215059027676,0.7030124150284616,0.02193302284619878
0.8,8.775994471220864,14.784493050354827,7.19138307906315e-5,62.526361080517965,0.671021496798925,0.023532531074715046
0.9,10.31386210284417,14.784445300358353,7.191383079062924e-5,68.58487505180854,0.638880081921518,0.0251395639583464
1,12.500568395668308,14.78439166156403,7.191383079062949e-5,74.67495645686454,0.6065711966066282,0.026754970166582143
1.1,14.395687758912736,14.784330898923033,7.191383079063059e-5,80.80492872507668,0.5740506836898883,0.028380957505632527
1.2,16.954326974633084,14.784261334534818,7.191383079062747e-5,86.98961562551806,0.5412399006338567,0.03002145800972429
1.3,19.244628266363698,14.784180621284332,7.191383079063235e-5,93.25201552320489,0.5080168373226889,0.031682572040943026
1.4,22.2342944311024,14.784085357372666,7.191383079062546e-5,99.62596129612707,0.4742020047640134,0.033373273837468194
1.5,25.010205486619764,14.783970391623859,7.19138307906258e-5,106.16045824283673,0.4395354217744223,0.03510656215225174
1.6,28.568310729163365,14.783827501023513,7.191383079063254e-5,112.92614595159021,0.40364233369894925,0.0369011742765916
1.7,32.03962882480668,14.783642618538519,7.191383079062756e-5,120.02698084817962,0.3659712345698947,0.038784684859239034
1.8,36.49278271460353,14.783389368827565,7.191383079063055e-5,127.62108060463255,0.3256832840841467,0.04079903492726576
1.9,39.88174603240139,14.783011531290992,5.711099673246036e-4,135.96075961705162,0.28143991279660535,0.04301115137617299
2,40.118253967598605,14.7823640150737,0.0026856374685549534,145.47194344316895,0.23098151544386353,0.045534011807505936
2.1,39.88174603240138,14.78093673058377,0.005060410950796206,156.87859399500655,0.1704673547956352,0.048559648558658575
2.2,40.11825396759861,14.775766188850422,0.007745794190111556,170.67509721048745,0.09727463199140174,0.052219198483191384
2.3,39.88174603240138,14.75100365248724,0.009641507933387217,180.9644555773292,0.04268789048050703,0.054948471259531714
2.4,40.118253967598605,14.726260917412894,0.010040494205939027,183.18579357427294,0.03090332639745911,0.055537685582330534
2.5,39.88174603240139,14.721848880758719,0.010083321669292485,183.42536235913207,0.029632374520097614,0.05560123167910858
2.6,40.11825396759861,14.721391633109883,0.010087479010899104,183.44862935194112,0.029508939289549608,0.055607403295244016
2.7,39.88174603240138,14.721347109258694,0.010087881200648602,183.45088035742128,0.029496997334579788,0.0556080003789242
2.8,40.118253967598605,14.721342649546592,0.01008792146031821,183.45110568678996,0.029495801925151142,0.05560806014797723
2.9,39.88174603240138,14.721342351576341,0.01008792415005394,183.45112074098026,0.02949572206019128,0.05560806414113686
3,40.118253967598605,14.721342105098527,0.01008792637495897,183.45113319355897,0.029495655997209692,0.0556080674442153
3.1,39.88174603240138,14.721342044807795,0.010087926919189059,183.45113623956237,0.02949563983765999,0.055608068252179475
3.2,40.11825396759861,14.721342012818772,0.010087927207946011,183.4511378557072,0.029495631263745686,0.055608068680863536
3.3,39.88174603240138,14.721342002444372,0.010087927301592754,183.45113837983897,0.029495628483139583,0.05560806881988027
3.4,40.118253967598605,14.721341999457897,0.010087927328551051,183.45113853072198,0.029495627682680572,0.05560806885990799
3.5,39.881746032401374,14.721341996471413,0.010087927355509351,183.45113868160496,0.02949562688222141,0.055608068899928455
3.6,40.11825396759861,14.721341993484915,0.010087927382467655,183.451138832488,0.02949562608176226,0.055608068939956186
3.7,39.881746032401374,14.721341992203216,0.010087927394037337,183.45113889724234,0.029495625738229708,0.055608068957122114
3.8,40.118253967598605,14.721341992056958,0.010087927395357353,183.4511389046304,0.029495625699034654,0.05560806895908026
3.9,39.88174603240139,14.721341991910721,0.010087927396677382,183.4511389120184,0.029495625659839753,0.055608068961038405
4,40.118253967598605,14.721341991764495,0.010087927397997413,183.45113891940653,0.029495625620644835,0.05560806896300382
4.1,39.881746032401374,14.721341991618235,0.010087927399317454,183.45113892679444,0.029495625581449785,0.055608068964944475
4.2,40.118253967598605,14.721341991472029,0.010087927400637482,183.4511389341827,0.029495625542254864,0.05560806896692739
4.3,39.881746032401374,14.721341991325774,0.0100879274019575,183.45113894157078,0.029495625503059814,0.05560806896888553
4.4,40.11825396759861,14.721341991179575,0.010087927403277547,183.45113894895894,0.029495625463864895,0.05560806897085095
4.5,39.88174603240138,14.721341991077535,0.010087927404198456,183.45113895411325,0.02949562543652024,0.05560806897221659
4.6,40.1182539675986,14.721341991073837,0.010087927404231574,183.4511389542985,0.029495625435536476,0.05560806897224674
4.7,39.88174603240138,14.721341991070217,0.010087927404264714,183.4511389544841,0.02949562543455298,0.05560806897231912
4.8,40.118253967598605,14.721341991066527,0.01008792740429784,183.45113895466937,0.029495625433569216,0.055608068972349274
4.9,39.88174603240138,14.721341991062875,0.010087927404330975,183.45113895485503,0.029495625432585586,0.055608068972428926
5,40.11825396759861,14.721341991059187,0.010087927404364103,183.45113895504028,0.029495625431601825,0.055608068972444524
5.1,39.88174603240137,14.7213419910555,0.01008792740439724,183.45113895522562,0.02949562543061806,0.05560806897249215
5.2,40.118253967598605,14.721341991051847,0.01008792740443037,183.45113895541115,0.02949562542963443,0.055608068972554325
5.3,39.881746032401374,14.721341991048158,0.010087927404463492,183.4511389555965,0.029495625428650814,0.05560806897260194
5.4,40.11825396759861,14.72134199104453,0.01008792740449663,183.45113895578197,0.029495625427667187,0.055608068972649576
5.5,39.88174603240137,14.72134199104082,0.010087927404529759,183.45113895596737,0.02949562542668342,0.0556080689726972
5.6,40.11825396759859,14.721341991037141,0.010087927404562866,183.45113895615265,0.029495625425699654,0.05560806897272735
5.7,39.881746032401374,14.721341991033496,0.010087927404596016,183.4511389563383,0.029495625424716024,0.055608068972807005
5.8,40.1182539675986,14.721341991029817,0.010087927404629127,183.45113895652355,0.02949562542373226,0.055608068972837155
5.9,39.881746032401395,14.721341991026174,0.010087927404662274,183.45113895670923,0.029495625422748764,0.055608068972902255
6,40.11825396759859,14.721341991022477,0.010087927404695397,183.45113895689448,0.029495625421764864,0.055608068972949884
6.1,39.88174603240136,14.72134199101878,0.010087927404728527,183.45113895707973,0.0294956254207811,0.05560806897298004
6.2,40.118253967598605,14.721341991017802,0.01008792740473779,183.4511389571318,0.029495625420506433,0.05560806897302425
6.3,39.88174603240137,14.721341991017725,0.010087927404738203,183.451138957134,0.029495625420493853,0.05560806897300584
6.4,40.11825396759861,14.721341991017718,0.01008792740473864,183.45113895713658,0.02949562542048141,0.05560806897302239
6.5,39.881746032401374,14.721341991017646,0.010087927404739041,183.45113895713877,0.02949562542046898,0.055608068973003966
6.6,40.11825396759859,14.721341991017582,0.010087927404739452,183.45113895714107,0.029495625420456265,0.055608068973003036
6.7,39.88174603240138,14.721341991017592,0.010087927404739887,183.45113895714357,0.029495625420444094,0.05560806897301665
6.8,40.11825396759861,14.721341991017516,0.0100879274047403,183.45113895714587,0.029495625420431378,0.05560806897301572
6.9,39.88174603240138,14.721341991017479,0.010087927404740727,183.4511389571482,0.029495625420418933,0.05560806897301479
7,40.1182539675986,14.721341991017445,0.01008792740474115,183.45113895715056,0.029495625420406492,0.05560806897301386
7.1,39.88174603240136,14.721341991017352,0.010087927404741577,183.45113895715272,0.029495625420393776,0.05560806897299545
7.2,40.118253967598605,14.721341991017333,0.010087927404741997,183.45113895715534,0.029495625420381335,0.05560806897302655
7.3,39.88174603240137,14.721341991017276,0.010087927404742405,183.45113895715767,0.02949562542036889,0.0556080689730431
7.4,40.11825396759862,14.72134199101727,0.010087927404742823,183.45113895715997,0.029495625420356598,0.05560806897302468
7.5,39.881746032401374,14.721341991017171,0.010087927404743244,183.45113895716244,0.029495625420343882,0.05560806897304123
7.6,40.11825396759861,14.72134199101713,0.010087927404743659,183.45113895716463,0.02949562542033144,0.05560806897302282
7.7,39.88174603240137,14.721341991017104,0.010087927404744087,183.4511389571671,0.029495625420318992,0.05560806897305391
7.8,40.118253967598584,14.721341991017034,0.010087927404744509,183.4511389571693,0.029495625420306277,0.05560806897302095
7.9,39.88174603240137,14.721341991017034,0.01008792740474493,183.4511389571719,0.02949562542029411,0.05560806897305205
8,40.118253967598605,14.721341991016958,0.01008792740474536,183.45113895717407,0.029495625420281394,0.05560806897303365
8.1,39.881746032401374,14.721341991016887,0.010087927404745792,183.45113895717628,0.02949562542026868,0.05560806897301523
8.2,40.118253967598584,14.72134199101682,0.010087927404746155,183.45113895717847,0.029495625420256234,0.055608068972996826
8.3,39.88174603240136,14.721341991016862,0.010087927404746613,183.4511389571813,0.029495625420244215,0.05560806897306286
8.4,40.11825396759861,14.72134199101679,0.010087927404747048,183.45113895718353,0.0294956254202315,0.05560806897304446
8.5,39.88174603240135,14.721341991016748,0.010087927404747479,183.4511389571857,0.02949562542021905,0.055608068973026045
8.6,40.11825396759859,14.721341991016647,0.010087927404747886,183.45113895718816,0.029495625420206336,0.05560806897304261
8.7,39.88174603240134,14.7213419910166,0.010087927404748304,183.45113895719038,0.029495625420193895,0.05560806897302418
8.8,40.11825396759862,14.721341991016613,0.01008792740474875,183.4511389571931,0.029495625420181453,0.05560806897305529
8.9,39.881746032401374,14.721341991016564,0.010087927404749166,183.45113895719533,0.02949562542016901,0.05560806897303688
9,40.1182539675986,14.721341991016489,0.010087927404749586,183.45113895719777,0.029495625420156296,0.05560806897305342
9.1,39.88174603240136,14.72134199101644,0.010087927404749992,183.45113895719996,0.029495625420143848,0.05560806897303501
9.2,40.118253967598584,14.721341991016335,0.010087927404750383,183.45113895720215,0.029495625420131132,0.055608068973016594
9.3,39.881746032401374,14.721341991016386,0.010087927404750847,183.45113895720473,0.029495625420119118,0.05560806897304769
9.4,40.118253967598605,14.721341991016338,0.010087927404751276,183.4511389572072,0.02949562542010667,0.055608068973064244
9.5,39.88174603240136,14.72134199101628,0.010087927404751442,183.4511389572081,0.02949562542010089,0.05560806897304549
9.6,40.11825396759859,14.721341991016281,0.010087927404751418,183.45113895720792,0.029495625420100962,0.05560806897302645
9.7,39.88174603240135,14.721341991016246,0.010087927404751474,183.45113895720777,0.02949562542010061,0.05560806897300742
9.8,40.11825396759862,14.721341991016319,0.010087927404751484,183.45113895720846,0.029495625420100955,0.0556080689730874
9.9,39.881746032401374,14.721341991016306,0.010087927404751456,183.4511389572083,0.0294956254201006,0.05560806897303927
10,40.11825396759861,14.721341991016283,0.010087927404751444,183.45113895720814,0.029495625420100674,0.055608068973020224
10.1,39.88174603240134,14.721341991016248,0.010087927404751482,183.45113895720786,0.029495625420100324,0.05560806897300119
10.2,40.11825396759857,14.721341991016251,0.010087927404751437,183.45113895720795,0.029495625420100396,0.055608068973017115
10.3,39.881746032401374,14.721341991016308,0.010087927404751468,183.4511389572084,0.029495625420100313,0.055608068973062155
10.4,40.118253967598605,14.721341991016287,0.010087927404751467,183.4511389572082,0.029495625420100386,0.05560806897304312
10.5,39.881746032401374,14.721341991016272,0.010087927404751458,183.45113895720834,0.029495625420100036,0.05560806897305905
10.6,40.1182539675986,14.721341991016251,0.010087927404751462,183.4511389572082,0.02949562542010011,0.05560806897304001
10.7,39.88174603240135,14.72134199101623,0.010087927404751484,183.45113895720803,0.029495625420099758,0.05560806897302098
10.8,40.118253967598605,14.72134199101633,0.010087927404751486,183.45113895720831,0.0294956254201001,0.055608068973036905
10.9,39.88174603240139,14.72134199101631,0.010087927404751472,183.45113895720843,0.029495625420100022,0.05560806897305284
11,40.1182539675986,14.721341991016253,0.010087927404751484,183.45113895720812,0.02949562542009982,0.0556080689730338
11.1,39.88174603240137,14.721341991016256,0.010087927404751496,183.45113895720812,0.029495625420099744,0.05560806897301476
11.2,40.11825396759857,14.721341991016239,0.010087927404751453,183.45113895720783,0.02949562542009939,0.05560806897299574
11.3,39.88174603240135,14.721341991016336,0.010087927404751488,183.45113895720837,0.029495625420099734,0.05560806897307573
11.4,40.11825396759861,14.721341991016276,0.010087927404751512,183.45113895720837,0.029495625420099383,0.055608068973056694
11.5,39.881746032401345,14.721341991016255,0.01008792740475151,183.45113895720806,0.029495625420099456,0.05560806897303766
11.6,40.118253967598584,14.721341991016262,0.010087927404751474,183.45113895720806,0.029495625420099102,0.05560806897301863
11.7,39.881746032401324,14.72134199101624,0.010087927404751503,183.45113895720803,0.029495625420099172,0.05560806897303456
11.8,40.118253967598626,14.721341991016315,0.010087927404751538,183.45113895720857,0.02949562542009937,0.055608068973050484
11.9,39.88174603240136,14.721341991016281,0.010087927404751524,183.4511389572083,0.02949562542009917,0.055608068973031444
12,40.11825396759856,14.721341991016264,0.0100879274047515,183.4511389572083,0.029495625420098814,0.05560806897304737
12.1,39.881746032401345,14.721341991016242,0.010087927404751482,183.45113895720823,0.029495625420098884,0.055608068973028335
12.2,40.11825396759855,14.721341991016208,0.01008792740475146,183.45113895720797,0.029495625420098533,0.0556080689730093
12.3,39.88174603240138,14.721341991016283,0.010087927404751503,183.45113895720849,0.02949562542009888,0.055608068973054335
12.4,40.11825396759859,14.721341991016295,0.010087927404751526,183.45113895720849,0.029495625420098797,0.05560806897307027
12.5,39.88174603240137,14.721341991016265,0.010087927404751498,183.45113895720849,0.0294956254200986,0.055608068973051226
12.6,40.11825396759858,14.721341991016244,0.010087927404751484,183.45113895720817,0.02949562542009852,0.05560806897303219
12.7,39.88174603240136,14.721341991016224,0.010087927404751524,183.45113895720817,0.029495625420098318,0.05560806897301316
12.8,40.11825396759861,14.721341991016324,0.010087927404751545,183.4511389572087,0.029495625420098516,0.05560806897306405
12.9,39.881746032401345,14.721341991016267,0.010087927404751507,183.4511389572084,0.029495625420098315,0.055608068973045
13,40.118253967598605,14.72134199101627,0.010087927404751507,183.4511389572084,0.02949562542009823,0.05560806897302598
13.1,39.881746032401345,14.721341991016251,0.010087927404751534,183.4511389572081,0.02949562542009803,0.05560806897300694
13.2,40.118253967598584,14.721341991016194,0.010087927404751503,183.45113895720837,0.02949562542009768,0.05560806897302287
13.3,39.88174603240136,14.72134199101629,0.010087927404751524,183.45113895720866,0.029495625420097874,0.05560806897306791
13.4,40.118253967598626,14.721341991016304,0.01008792740475153,183.45113895720863,0.029495625420098218,0.055608068973048874
13.5,39.88174603240135,14.721341991016283,0.010087927404751553,183.45113895720834,0.029495625420097867,0.05560806897302985
13.6,40.118253967598605,14.721341991016255,0.010087927404751526,183.4511389572086,0.029495625420097666,0.05560806897304577
13.7,39.881746032401345,14.721341991016196,0.010087927404751545,183.45113895720831,0.029495625420097312,0.05560806897302674
13.8,40.11825396759859,14.72134199101627,0.010087927404751553,183.45113895720857,0.029495625420097656,0.05560806897304265
13.9,39.88174603240137,14.721341991016276,0.010087927404751533,183.45113895720885,0.029495625420097305,0.05560806897305859
14,40.11825396759857,14.72134199101629,0.010087927404751552,183.4511389572085,0.029495625420097652,0.05560806897303955
14.1,39.88174603240136,14.721341991016233,0.010087927404751555,183.45113895720854,0.029495625420097298,0.05560806897302052
14.2,40.11825396759856,14.721341991016201,0.010087927404751508,183.45113895720823,0.029495625420097097,0.055608068973001475
14.3,39.881746032401345,14.721341991016315,0.01008792740475154,183.45113895720877,0.02949562542009729,0.05560806897308148
14.4,40.1182539675986,14.721341991016258,0.010087927404751573,183.45113895720877,0.02949562542009709,0.05560806897306244
14.5,39.88174603240134,14.721341991016224,0.010087927404751569,183.45113895720846,0.029495625420096736,0.05560806897304341
14.6,40.118253967598584,14.721341991016237,0.010087927404751569,183.4511389572087,0.029495625420097083,0.05560806897305934
14.7,39.881746032401324,14.721341991016219,0.010087927404751595,183.45113895720814,0.029495625420096733,0.05560806897297624
14.8,40.11825396759862,14.721341991016317,0.010087927404751559,183.45113895720868,0.029495625420097076,0.05560806897302126
