"time","H_sensor","I_sensor","Q_sensor","omega_sensor","slip_sensor","vib_sensor"
0,0.1745408618988636,14.784777751588988,7.191383079063045e-5,5.515374149790153,0.9734741761513508,0.7584102533742553
0.1,-0.05242596939366279,14.784776389876917,7.19138307906302e-5,5.922564835832589,0.9713139624691963,0.7585182615137891
0.2,0.1946158067006107,14.784774990025317,7.191383079063071e-5,6.3391486533143535,0.9691039166770525,0.7586287612001238
0.3,-0.03030931923376677,14.784773551116999,7.191383079063079e-5,6.765245380325538,0.9668434033324155,0.758741784204635
0.4,0.21888873768523232,14.784772072210664,7.191383079063097e-5,7.2009741690575115,0.9645317903132776,0.7588573621326817
0.5,-0.0037613806605694368,14.784770552352605,7.191383079063029e-5,7.6464498244599755,0.9621684685604641,0.7589755254365022
0.6,0.24783447756841095,14.784768990577643,7.191383079062896e-5,8.101782288176782,0.9597528548154394,0.7590963032783358
0.7,0.027709034468531863,14.784767385906132,7.191383079063202e-5,8.56707729275968,0.9572843881495948,0.7592197237039527
0.8,0.28196054552226657,14.78476573734349,7.19138307906315e-5,9.042436256274774,0.9547625305233794,0.7593458136147037
0.9,0.06462580559549785,14.784764043881996,7.191383079062924e-5,9.527955509392795,0.9521867708867121,0.7594745985624802
1,0.3218071209609279,14.784762304498475,7.191383079062949e-5,10.023726749976786,0.9495566227673206,0.7596061028703254
1.1,0.10754526812809165,14.784760518158839,7.191383079063059e-5,10.529835501786506,0.9468716324475679,0.7597403492235927
1.2,0.3679464807889609,14.784758683813386,7.191383079062747e-5,11.046362233659412,0.9441313730270117,0.759877358966791
1.3,0.15705540825536687,14.784756800400176,7.191383079063235e-5,11.573381186654709,0.9413354506446013,0.7600171517925213
1.4,0.42098205532297633,14.784754866843299,7.191383079062546e-5,12.110960645869167,0.9384835030366462,0.7601597458135272
1.5,0.21377472616968693,14.784752882055766,7.19138307906258e-5,12.65916194136743,0.9355752048370487,0.7603051572977506
1.6,0.48154697362801663,14.78475084493619,7.191383079063254e-5,13.21804016596971,0.9326102637693198,0.7604534008586551
1.7,0.2783505104269011,14.784748754372647,7.191383079062756e-5,13.787642919824425,0.9295884273068284,0.7606044891222747
1.8,0.5503021417780675,14.784746609239752,7.191383079063055e-5,14.368010964214658,0.9265094792042523,0.7607584329006298
1.9,0.35145667198756253,14.784744408401462,7.191383079062931e-5,14.959177264550119,0.923373244574661,0.7609152409378438
2,0.62793381923525,14.784742150708512,7.191383079062853e-5,15.561167543757405,0.9201795869536906,0.7610749200569988
2.1,0.4337910922082203,14.7847398350019,7.191383079063026e-5,16.17399919971133,0.9169284140427488,0.7612374748729039
