"time","H_sensor","I_sensor","Q_sensor","omega_sensor","slip_sensor","vib_sensor"
0,0.1745408618988636,14.784777751588988,7.191383079063045e-5,5.515374149790153,0.9734741761513508,0.5084102533742553
0.1,-0.004986974518465849,14.784770683235624,7.19138307906302e-5,7.608179584588275,0.9623714984887606,0.5089653741792416
0.2,0.3101453116413709,14.784763275466947,7.191383079063071e-5,9.747337110994025,0.9510229153427705,0.509532789968739
0.3,0.17517188650408505,14.784755514027372,7.191383079063079e-5,11.931415935606665,0.9394360173081223,0.5101121212219509
0.4,0.5373532653626157,14.784747384117058,7.191383079063097e-5,14.158843752027943,0.927619145729328,0.5107029508814802
0.5,0.4518421291262086,14.784738870233152,7.191383079063029e-5,16.427946629142234,0.9155811810867686,0.5113048349337653
0.6,0.8658016648618182,14.78472995616136,7.191383079062896e-5,18.736945043267088,0.9033315640467913,0.5119173013566091
0.7,0.8342709602601498,14.784720624912461,7.191383079063202e-5,21.083964848933096,0.8908802372599136,0.5125398530291977
0.8,1.3042853337915543,14.784710858636622,7.19138307906315e-5,23.46705246843634,0.8782375647777458,0.5131719717611656
0.9,1.3307442666226879,14.784700638505786,7.191383079062924e-5,25.884195443828897,0.8654142230212933,0.5138131237440282
1,1.8605347754757406,14.78468994457513,7.191383079062949e-5,28.333344338970914,0.8524210845869631,0.5144627653607747
1.1,1.9484022086495079,14.784678755630893,7.191383079063059e-5,30.812433396211325,0.8392691086594685,0.5151203486650846
1.2,2.5410763248169785,14.78466704902149,7.191383079062747e-5,33.31940014170769,0.8259692370023768,0.5157853265816579
1.3,2.693145516959699,14.784654800446171,7.191383079063235e-5,35.85220856785827,0.8125322709714878,0.5164571590554399
1.4,3.3511870955471044,14.784641983700208,7.191383079062546e-5,38.40887427440708,0.7989687381371284,0.5171353197203011
1.5,3.569645474540305,14.78462857038238,7.19138307906258e-5,40.98748877099271,0.7852887633551279,0.5178193023453966
1.6,4.29496652794547,14.784614529544987,7.191383079063254e-5,43.58624523344491,0.7715019321254188,0.5185086276670039
1.7,4.581479798420068,14.784599827291727,7.191383079062756e-5,46.203462738012085,0.7576171620254688,0.5192028498167541
1.8,5.37553747967593,14.784584426281715,7.191383079063055e-5,48.83761438035184,0.7436425535344019,0.5199015637802418
1.9,5.731400931860059,14.784568285165099,7.191383079062931e-5,51.487351782271006,0.7295852600207047,0.5206044118974514
2,6.595384214989646,14.784551357887308,7.191383079062853e-5,54.15153397141373,0.7154513345307231,0.5213110915232207
2.1,7.021747038762836,14.784533592834773,7.191383079063026e-5,56.82926017693786,0.701245555802194,0.5220213637262796
